"[2.8594343964018276, -3.102762683147689, 1.2652827291016164]","[3.3547912572181176, -3.1478994755371623, 1.5854096500401083]","[2.8854558762641473, -3.0907112099182, 1.299130137924503]","[3.5860725403124762, -2.993845293574216, 1.3923166779999319]","[0.910540785074474, -2.437104891664766, 0.0]",nan,Book,13
"[2.930172212606838, -3.124989781581013, 1.3221192794464798]","[3.419721397043456, -3.1389067581735635, 1.5951101271633692]","[3.4043127694428086, -3.2275574131986433, 1.3867668049954145]","[3.636441128626751, -2.9748108090505885, 1.3939268427513807]","[0.9098684309079289, -2.436472739961446, 0.0]",nan,Cup,18
"[2.9123571845854066, -3.084336405502305, 1.500214184486297]","[3.4577105990367705, -3.159566306244756, 1.609294639702786]","[3.246531882308561, -3.209983042258294, 1.355739739039531]","[3.646861281950058, -3.0306772877586847, 1.3805518948563642]","[0.912157859331485, -2.436827318057958, 0.0]",nan,Bottle,0
"[2.8584222003230746, -3.099287614243882, 1.4911149929796372]","[3.4167022448425133, -3.168468690600154, 1.6105051060453555]","[3.225518577619413, -3.2116657076018713, 1.3610921291832507]","[3.6508927492167778, -3.0251450612692663, 1.3864997162499364]","[0.9131420771052714, -2.4376362881626408, 0.0]",nan,Cup,15
"[1.622345401273232, -2.7870253525436466, 0.9255505305297622]","[1.6691589333336005, -2.484342850835229, 1.5458709465466225]","[1.7339777489087052, -2.215289748172446, 1.3387255900953385]","[1.5337705399998947, -2.470453760700113, 1.3650802759651721]","[3.1725717301994862, -2.200197949682333, 0.0]",nan,Book,13
"[1.4376510404732605, -2.8660284926815747, 0.9664468738794592]","[1.6253026302332239, -2.518210172546435, 1.5597213026339938]","[1.7080094347428776, -2.267163102555187, 1.3487077193878854]","[1.5369285110896913, -2.4735316488892702, 1.3556667521691619]","[3.1721555873243554, -2.1985397117336882, 0.0]",nan,Cup,18
"[1.4711656421385397, -2.9960757750453175, 1.3841635970596846]","[1.626136070136748, -2.4693846322677655, 1.5958040493153294]","[1.7201014852553722, -2.2316088168407258, 1.3318453220848618]","[1.509150260528419, -2.485724515000962, 1.4015912799362718]","[3.1690914940224544, -2.1991537325277593, 0.0]",nan,Bottle,4
"[1.4503235121978486, -3.062952901956227, 1.369744401462234]","[1.5397186886823366, -2.5173171635547757, 1.6037448136333996]","[1.6450465369502294, -2.257359526910496, 1.3290221927885586]","[1.4213032886049377, -2.564488479346097, 1.396008989992103]","[3.171894136596263, -2.199653255917751, 0.0]",nan,Stuffed Toy,9
"[2.0353443054063636, -3.2859171436141352, 1.0497816441000156]","[2.2471198307355182, -3.6167020113208563, 1.562940897430546]","[2.4095104650064467, -3.862666878872254, 1.3415116393320414]","[2.3264642830148654, -3.52023488569378, 1.3682114898071391]","[0.7104532865208238, -4.917751652977736, 0.0]",nan,Stuffed Toy,8
"[1.900991101006975, -3.2549884156844726, 1.104719771685478]","[2.014452370762921, -3.6735071618833555, 1.565745600891548]","[2.0217599226933425, -3.883858313449655, 1.332060643864113]","[2.065705141756413, -3.679497822609623, 1.3440314917091902]","[0.7106374224731347, -4.919098507396974, 0.0]",nan,Book,13
"[1.798840445807116, -3.5415652032683553, 1.4906990810728318]","[2.231522859885361, -3.70541477115368, 1.613903172569457]","[2.3492936259402923, -3.909128368756793, 1.350526057848047]","[2.2376451586046127, -3.604947186817333, 1.4162591526139348]","[0.7104788547417501, -4.919514330198867, 0.0]",nan,Bottle,0
"[1.6582156385311775, -3.6140705853016017, 1.4992852894787367]","[2.2053145005702515, -3.7161228975302545, 1.6209154265545571]","[2.3270117024826273, -3.914444580780998, 1.3496983139042436]","[2.1519641100760607, -3.639888860706072, 1.4052969305042802]","[0.7091906763521431, -4.918640776644943, 0.0]",nan,Stuffed Toy,5
"[-0.23404606293299424, -4.423685772708166, 1.3382199494366223]","[-0.0004330444865763283, -4.6663793849326645, 1.5968361485800142]","[-0.09366052472895026, -4.674710773741079, 1.3724814443115756]","[0.24564069756165896, -4.704707302797619, 1.3682009485238704]","[-1.0717834857604833, -2.603130693385829, 0.0]",nan,Book,11
