"[2.8594343964018276, -3.102762683147689, 1.2652827291016164]","[3.3547912572181176, -3.1478994755371623, 1.5854096500401083]","[2.8854558762641473, -3.0907112099182, 1.299130137924503]","[3.5860725403124762, -2.993845293574216, 1.3923166779999319]","[0.910540785074474, -2.437104891664766, 0.0]",nan,Book,13
"[1.4376510404732605, -2.8660284926815747, 0.9664468738794592]","[1.6253026302332239, -2.518210172546435, 1.5597213026339938]","[1.7080094347428776, -2.267163102555187, 1.3487077193878854]","[1.5369285110896913, -2.4735316488892702, 1.3556667521691619]","[3.1721555873243554, -2.1985397117336882, 0.0]",nan,Cup,18
"[2.0353443054063636, -3.2859171436141352, 1.0497816441000156]","[2.2471198307355182, -3.6167020113208563, 1.562940897430546]","[2.4095104650064467, -3.862666878872254, 1.3415116393320414]","[2.3264642830148654, -3.52023488569378, 1.3682114898071391]","[0.7104532865208238, -4.917751652977736, 0.0]",nan,Stuffed Toy,8
"[-0.4340136949659126, -4.335991026346002, 1.429261347821578]","[-0.015764898905709757, -4.68107084139884, 1.6193554489140078]","[-0.10363133021644544, -4.712779495536825, 1.3834337504418939]","[0.22489138112090745, -4.673930353758308, 1.366979458761649]","[-1.0731770169959673, -2.604910430601031, 0.0]",nan,Bottle,0
"[-1.1978781896483657, -3.8967995152834938, 0.9852828555007158]","[-1.0004754147530739, -4.133707800851086, 1.5592836229328684]","[-0.8436195860559015, -4.380266971108241, 1.3577548949245983]","[-0.918949648357507, -4.035086770588451, 1.3641101894389163]","[-2.790888654855792, -5.157932792361004, 0.0]",nan,Stuffed Toy,6
"[-1.2580672478113457, -2.8155324111916076, 0.9253252471410005]","[-1.0850609773694293, -2.63739164664098, 1.5458051201626917]","[-0.9038589652886253, -2.4328614311769505, 1.3452267584130428]","[-1.2186267725800757, -2.573378766579432, 1.3521520432755612]","[-0.17635747584075892, -4.110959004769296, 0.0]",nan,Book,11
"[-2.33104447075323, -1.8385434174031978, 1.4353108413785387]","[-2.7399850169903366, -1.488919112012265, 1.6215110764643244]","[-2.495206005955018, -1.6283254652013888, 1.3471438944557412]","[-2.969828337253096, -1.5249235183985603, 1.3651785588116194]","[-0.8081083472644799, -3.619956964983748, 0.0]",nan,Stuffed Toy,9
"[-1.8326118947997452, -3.731047512590297, 1.0513018668886998]","[-2.153080551641711, -3.5353980159010536, 1.561211710321372]","[-2.360511990133505, -3.367469669935434, 1.3529832474514867]","[-2.2040589735345053, -3.657212312539275, 1.352669972775643]","[-1.6193973128310453, -1.8325187491779054, 0.0]",nan,Bottle,1
"[-3.048305879409372, -6.801289360724828, 1.2601622986805683]","[-3.265979701259526, -7.099294033515164, 1.5753487436298907]","[-3.3347059084231954, -7.032624522560171, 1.3573722629074632]","[-3.217063831838229, -7.34173509093105, 1.3686746148590627]","[-1.4798476502465274, -5.609605089448537, 0.0]",nan,Cup,17
"[-1.9811986018400893, -6.572592089807713, 0.8868962241534769]","[-2.139979967648443, -6.704125005531931, 1.5164590536739544]","[-2.2084993491586777, -6.815533020461654, 1.3503845768593514]","[-1.9472347316641907, -6.834274165991117, 1.3330065446518624]","[-0.8561442074361602, -5.770349069102954, 0.0]",nan,Bottle,2
