"[nan, nan, nan]","[nan, nan, nan]","[1.4314372788761245, -2.1009654554736272, 1.3887578038696824]","[1.182877800151412, -2.2261107659088424, 1.4100593714241565]","[0.19727840340498173, -1.1164195065790505, 0.0]",a,Bottle,4
"[nan, nan, nan]","[1.3388948560713776, -2.280736117720731, 1.61948675794645]","[1.4918346489327088, -2.1346412369944794, 1.3918979602478712]","[1.244947194587355, -2.2513360155215043, 1.4102117805008465]","[0.19986648238884472, -1.1181927288503177, 0.0]",ko,Cup,18
"[2.3319698466503946, -3.95787162034897, 0.9731922612314331]","[nan, nan, nan]","[2.239155053106595, -4.109553404881845, 1.3268289976043843]","[2.354419464094203, -3.9109803473794473, 1.3441218247077305]","[2.6423166244599545, -5.133770490629474, 0.0]",ko,Stuffed Toy,8
"[nan, nan, nan]","[2.303801686246113, -3.749172806662432, 1.6319938985828912]","[2.279171907418461, -3.810822675201319, 1.4269687919144198]","[2.424873928071918, -3.7155993410838173, 1.4119218377594511]","[2.6414172790189383, -5.433455964575357, 0.0]",a,Stuffed Toy,5
"[0.32239381780656684, -4.599421351902831, 0.9643787829132378]","[nan, nan, nan]","[0.24245364123099278, -4.681002668286165, 1.3842968543918424]","[0.4542339611722297, -4.535029939306887, 1.3370160038173142]","[1.5372695095099986, -4.98344337595102, 0.0]",a,Stuffed Toy,5
"[0.31761671338874975, -4.468442175444345, 1.3268179793617523]","[nan, nan, nan]","[0.20896126780820268, -4.767337835585091, 1.3566812815218858]","[0.29749455270229563, -4.457261204900975, 1.4121239467646998]","[1.5353100291294937, -4.9822668955358695, 0.0]",a,Book,11
"[-0.984535732248234, -4.407817528585479, 0.9266161559347685]","[nan, nan, nan]","[-1.1255118766952088, -4.54288321314395, 1.3343841565600236]","[-0.921561474334417, -4.3286263044374635, 1.358140145703717]","[-0.8125740051642535, -5.7567750558235105, 0.0]",ko,Cup,16
"[nan, nan, nan]","[-1.0793804561808908, -4.365995087472784, 1.5817021815304337]","[-1.1952217707076516, -4.492783878850943, 1.331288783505491]","[-0.9956143855829463, -4.2942668611620185, 1.3763253901410368]","[-0.8252890905802908, -5.732199647734778, 0.0]",a,Bottle,0
"[-0.8877466790719255, -2.5085250319207435, 1.1019112422852504]","[nan, nan, nan]","[-0.857644364256022, -2.555340924790604, 1.3696582731417648]","[-1.047417615974511, -2.3353174710265394, 1.3374479138382174]","[-0.28860775984975195, -1.523698265170893, 0.0]",ko,Cup,16
"[-0.7706334606571243, -2.810367454673572, 1.3283570496563493]","[nan, nan, nan]","[-0.7612397919666982, -2.7065115275062857, 1.37918774170919]","[-0.9665558754591856, -2.4739262186127364, 1.3585714785580218]","[-0.020005811051534008, -1.9519638226600775, 0.0]",a,Bottle,2
